RID dG0'r pH T I 
R71 -18.024 8.00 303.15 NaN 
R71 -14.369 8.00 303.15 NaN 
R71 -12.656 8.00 303.15 NaN 
R71 -16.317 8.00 303.15 NaN 
R71 -14.609 8.00 303.15 NaN 
R71 -12.754 8.00 303.15 NaN 
R71 -12.183 8.00 303.15 NaN 
R71 -13.137 8.00 303.15 NaN 
R71 -20.014 8.00 303.15 NaN 
R71 -17.525 8.00 303.15 NaN 
R71 -14.609 8.00 303.15 NaN 
R71 -13.677 8.00 303.15 NaN 
R71 -11.975 8.00 303.15 NaN 
R49 -13.284 8.00 303.15 NaN 
R25 -19.422 8.00 303.15 NaN 
R82 -15.630 8.00 303.15 NaN 
R51 -20.410 7.30 303.15 NaN 
R71 -12.520 8.00 303.15 NaN 
R71 -18.979 8.00 303.15 NaN 
R71 -15.831 8.00 303.15 NaN 
R71 -15.831 8.00 303.15 NaN 
R71 -15.216 8.00 303.15 NaN 
R71 -16.750 8.00 303.15 NaN 
R71 -13.530 8.00 303.15 NaN 
R71 -13.959 8.00 303.15 NaN 
R71 -18.423 7.30 303.15 NaN 
R71 -12.893 8.00 303.15 NaN 
R71 -10.671 8.50 311.15 NaN 
R71 -8.006 7.00 303.15 NaN 
R71 -8.911 7.00 333.15 NaN 
R71 -7.897 7.00 312.15 NaN 
R71 -6.659 7.40 298.15 NaN 
R71 1.871 7.40 298.15 NaN 
R71 2.505 8.10 303.15 NaN 
R71 9.722 6.80 310.15 NaN 
R71 -2.201 7.00 277.15 NaN 
R71 13.280 7.37 298.25 NaN 
R71 13.114 7.33 304.25 NaN 
R71 13.620 7.30 310.15 NaN 
R71 12.909 7.29 310.25 NaN 
R71 12.813 7.35 316.25 NaN 
R71 12.276 7.24 310.15 NaN 
R71 13.580 7.43 286.15 NaN 
R71 13.568 7.39 292.15 NaN 
R71 0.814 6.60 298.15 NaN 
R43 0.616 7.23 298.15 NaN 
R12 4.420 7.00 310.15 NaN 
R12 -3.532 7.63 298.15 NaN 
R12 -2.602 7.99 320.05 NaN 
R1 -3.585 7.30 298.15 NaN 
R46 -3.054 7.99 309.41 NaN 
R7 -3.520 7.99 298.15 NaN 
R33 -0.000 7.65 323.15 NaN 
R8 20.343 7.50 295.15 NaN 
R33 4.700 8.20 298.15 NaN 
R33 -14.771 5.00 308.15 NaN 
R33 -13.741 5.00 308.15 NaN 
R33 -11.793 6.00 308.15 NaN 
R33 -12.259 6.10 308.15 NaN 
R33 -11.793 6.10 308.15 NaN 
R33 -11.688 6.10 308.15 NaN 
R33 -11.022 6.10 308.15 NaN 
R19 -10.609 7.00 308.15 NaN 
R19 -10.308 7.00 308.15 NaN 
R81 -10.308 7.00 308.15 NaN 
R24 -10.527 7.00 308.15 NaN 
R24 -10.609 7.00 308.15 NaN 
R24 -10.527 7.00 308.15 NaN 
R24 -10.308 7.00 308.15 NaN 
R24 -7.796 7.00 308.15 NaN 
R25 -10.398 7.20 308.15 NaN 
R53 -8.623 7.20 308.15 NaN 
R28 -9.748 7.80 308.15 NaN 
R80 -9.859 7.80 308.15 NaN 
R80 -9.748 7.80 308.15 NaN 
R80 -10.167 8.00 308.15 NaN 
R80 -10.167 8.00 308.15 NaN 
R80 -6.363 8.00 308.15 NaN 
R80 -9.859 9.00 308.15 NaN 
R80 -9.859 10.00 308.15 NaN 
R80 -15.350 7.80 298.20 NaN 
R80 -15.674 7.80 303.50 NaN 
R80 -15.865 7.80 308.20 NaN 
R80 -15.604 7.80 313.40 NaN 
R80 -16.132 7.80 313.40 NaN 
R80 -12.654 6.10 308.15 NaN 
R80 -10.308 7.00 308.15 NaN 
R80 -9.859 8.00 308.15 NaN 
R80 -16.212 7.80 311.00 NaN 
R80 -9.966 7.80 308.15 NaN 
R80 -16.161 7.80 308.20 NaN 
R80 -11.315 6.10 308.15 NaN 
R80 -15.821 7.80 303.50 NaN 
R80 -12.654 6.10 308.15 NaN 
R80 -10.308 7.00 308.15 NaN 
R80 -15.731 7.80 311.00 NaN 
R80 -12.931 6.00 308.15 NaN 
R80 -12.931 6.00 308.15 NaN 
R80 -9.966 7.00 308.15 NaN 
R80 -9.571 8.00 308.15 NaN 
R80 -9.748 7.80 308.15 NaN 
R80 -12.037 6.10 308.15 NaN 
R80 -9.381 7.00 308.15 NaN 
R80 -10.308 7.20 308.15 NaN 
R80 -15.933 7.80 298.20 NaN 
R80 -12.259 6.10 308.15 NaN 
R80 -10.308 7.00 308.15 NaN 
R80 -9.804 7.00 308.15 NaN 
R80 -6.297 7.50 298.15 NaN 
R80 20.279 7.50 277.15 NaN 
R80 -7.992 7.30 311.15 NaN 
R80 -12.019 7.50 310.15 NaN 
R80 4.612 7.00 311.15 0.25 
R80 2.995 7.00 311.15 0.25 
R80 0.339 7.00 311.15 0.25 
R80 1.356 7.00 311.15 0.25 
R80 0.247 7.00 311.15 0.25 
R80 -2.832 7.40 310.15 NaN 
R80 -3.242 7.00 298.15 NaN 
R80 19.199 7.72 303.15 NaN 
R80 19.800 7.72 303.15 NaN 
R80 21.736 8.31 303.15 NaN 
R80 13.829 8.70 303.15 NaN 
R80 19.534 8.70 303.15 NaN 
R80 16.347 8.31 303.15 NaN 
R80 18.177 7.94 303.15 NaN 
R26 18.355 7.94 303.15 NaN 
R11 15.557 8.31 303.15 NaN 
R12 19.413 7.72 303.15 NaN 
R83 13.373 8.70 303.15 NaN 
R44 18.899 7.94 303.15 NaN 
R44 -0.000 7.00 298.15 NaN 
R44 -4.555 7.00 303.15 NaN 
R44 4.723 7.00 310.15 NaN 
R44 36.091 7.50 303.15 NaN 
R23 13.943 7.00 278.15 NaN 
R31 12.576 7.00 310.15 NaN 
R55 3.154 6.40 298.15 NaN 
R55 2.197 6.00 303.15 NaN 
R55 2.228 7.00 303.15 NaN 
R55 3.543 7.00 303.15 NaN 
R55 4.093 10.00 303.15 NaN 
R55 3.992 9.00 303.15 NaN 
R55 2.781 7.00 280.30 NaN 
R55 3.308 7.00 303.15 NaN 
R55 3.771 7.00 322.60 NaN 
R55 3.250 7.00 300.40 NaN 
R55 3.861 7.00 303.15 NaN 
R55 1.766 5.00 303.15 NaN 
R64 1.124 7.00 303.15 NaN 
R26 3.637 8.00 303.15 NaN 
R14 -0.166 7.00 343.15 NaN 
R73 -0.333 7.00 353.15 NaN 
R33 0.468 7.00 323.15 NaN 
R33 -0.790 7.00 333.15 NaN 
R7 -7.658 7.80 298.15 NaN 
R8 13.364 6.50 310.15 NaN 
R8 4.262 7.50 298.15 NaN 
R8 3.012 7.50 311.15 NaN 
R8 3.748 7.50 304.15 NaN 
R8 2.937 7.50 310.15 NaN 
R8 3.751 7.20 298.15 NaN 
R8 2.753 7.20 333.15 NaN 
R8 2.613 7.20 343.15 NaN 
R8 3.060 7.20 323.15 NaN 
R8 3.133 7.20 313.15 NaN 
R8 -0.082 7.20 333.15 NaN 
R8 8.102 7.20 298.15 NaN 
R8 5.607 7.20 343.15 NaN 
R25 6.620 7.20 323.15 NaN 
R25 7.034 7.20 313.15 NaN 
R25 5.870 7.20 333.15 NaN 
R25 2.032 7.20 333.15 NaN 
R12 -18.438 6.00 308.15 NaN 
R65 -24.623 6.10 308.15 NaN 
R42 -18.361 6.10 308.15 NaN 
R42 -15.467 6.10 308.15 NaN 
R42 -12.464 6.10 308.15 NaN 
R42 -17.236 6.53 308.15 NaN 
R84 -14.614 6.97 308.15 NaN 
R84 -14.519 7.00 308.15 NaN 
R84 -12.996 7.00 308.15 NaN 
R84 -11.793 7.00 308.15 NaN 
R84 -6.758 7.20 308.15 NaN 
R25 -18.550 7.80 308.15 NaN 
R81 -14.850 7.80 308.15 NaN 
R81 -11.315 7.80 308.15 NaN 
R81 -12.083 7.80 308.15 NaN 
R81 -14.971 8.00 308.15 NaN 
R81 -13.119 7.80 293.20 NaN 
R85 -12.617 7.80 299.90 NaN 
R71 -12.189 7.80 302.30 NaN 
R71 -14.200 7.20 308.15 NaN 
R71 -10.987 6.10 308.15 NaN 
R71 -10.987 6.10 308.15 NaN 
R71 -16.338 7.80 308.15 NaN 
R71 0.270 7.00 308.15 NaN 
R71 -20.586 6.10 308.15 NaN 
R71 -18.892 7.80 308.15 NaN 
R71 -15.391 7.80 302.30 NaN 
R71 -12.405 8.83 308.15 NaN 
R71 -21.039 7.00 308.15 NaN 
R71 -13.298 7.80 308.15 NaN 
R71 -14.714 7.80 308.15 NaN 
R71 -25.360 7.00 308.15 NaN 
R71 -15.051 7.80 308.15 NaN 
R71 -16.483 7.80 293.20 NaN 
R71 4.121 8.00 308.15 NaN 
R71 -15.721 7.80 299.90 NaN 
R71 -10.398 7.00 308.15 NaN 
R71 -21.174 7.00 308.15 NaN 
R71 -11.469 7.80 313.20 NaN 
R71 -15.862 7.00 308.15 NaN 
R71 -13.354 7.80 308.15 NaN 
R71 -11.793 7.80 308.15 NaN 
R71 -11.793 7.80 308.15 NaN 
R71 -14.378 5.80 311.15 NaN 
R71 -20.084 8.00 303.15 NaN 
R71 -16.562 7.00 298.15 NaN 
R71 -17.402 7.00 303.15 NaN 
R71 -20.364 7.00 310.15 NaN 
R71 -21.847 8.00 310.15 NaN 
R71 -19.666 8.00 298.15 NaN 
R71 3.442 7.30 303.15 NaN 
R71 7.523 6.80 298.15 NaN 
R71 2.422 6.00 293.15 NaN 
R71 2.489 6.00 293.15 NaN 
R71 0.099 6.00 293.15 NaN 
R71 -0.524 6.00 293.15 NaN 
R71 -0.210 6.00 293.15 NaN 
R71 1.839 6.00 293.15 NaN 
R71 0.669 6.00 293.15 NaN 
R71 1.593 6.00 293.15 NaN 
R71 0.940 6.00 293.15 NaN 
R27 17.440 7.00 298.15 NaN 
R5 17.588 7.06 298.15 NaN 
R5 16.684 7.18 298.15 NaN 
R5 16.194 7.22 298.15 NaN 
R5 1.717 8.39 298.15 NaN 
R5 11.410 7.53 298.15 NaN 
R5 12.869 7.39 298.15 NaN 
R17 21.433 6.51 298.15 NaN 
R41 17.281 6.91 298.15 NaN 
R8 4.390 8.19 298.15 NaN 
R8 6.554 7.88 298.15 NaN 
R8 2.372 7.40 303.15 NaN 
R8 -2.257 7.40 303.15 NaN 
R8 -0.219 8.00 343.15 NaN 
R8 4.888 7.00 311.15 0.25 
R8 -4.132 5.40 298.15 NaN 
R8 -4.037 6.50 298.15 NaN 
R8 -4.108 7.20 298.15 NaN 
R13 -3.938 5.00 298.15 NaN 
R13 -4.155 5.90 298.15 NaN 
R13 12.932 7.00 298.15 NaN 
R13 4.249 7.15 298.15 NaN 
R13 -6.104 6.86 311.15 0.25 
R13 -6.270 6.83 311.15 0.25 
R13 -6.080 6.66 311.15 0.25 
R13 -6.104 6.65 311.15 0.25 
R13 -6.030 6.79 311.15 0.25 
R13 -6.153 6.57 311.15 0.25 
R13 -6.153 6.68 311.15 0.25 
R59 -6.055 6.72 311.15 0.25 
R21 -6.200 6.70 311.15 0.25 
R25 -6.153 6.48 311.15 0.25 
R30 -6.177 6.65 311.15 0.25 
R26 -6.270 6.63 311.15 0.25 
R26 -6.129 6.76 311.15 0.25 
R26 -6.129 6.78 311.15 0.25 
R26 -6.270 6.76 311.15 0.25 
R26 -6.200 6.48 311.15 0.25 
R56 -14.283 7.40 303.15 NaN 
R30 0.356 6.98 310.15 0.25 
R26 0.274 6.99 310.15 0.25 
R26 -0.150 6.99 310.15 0.25 
R26 0.443 6.99 310.15 0.25 
R26 -0.111 6.99 310.15 0.25 
R26 0.052 6.91 310.15 0.25 
R26 -0.036 6.99 310.15 0.25 
R26 0.094 6.89 310.15 0.25 
R26 0.890 6.99 310.15 0.25 
R26 0.044 6.91 310.15 0.25 
R26 0.190 6.97 310.15 0.25 
R26 0.049 6.97 310.15 0.25 
R26 2.494 6.99 310.15 0.25 
R26 0.143 6.98 310.15 0.25 
R26 1.440 6.99 310.15 0.25 
R26 0.047 6.90 310.15 0.25 
R26 -7.386 7.04 311.15 0.25 
R50 -0.551 7.00 348.15 NaN 
R8 -0.966 7.00 353.15 NaN 
R8 0.028 7.00 333.15 NaN 
R8 -0.056 7.00 338.15 NaN 
R8 -0.374 7.00 343.15 NaN 
R8 -7.874 7.00 298.15 NaN 
R8 -8.072 7.00 298.15 NaN 
R8 -14.601 6.20 303.15 NaN 
R8 -12.320 6.20 303.15 NaN 
R8 -11.601 6.20 303.15 NaN 
R8 -16.194 7.20 303.15 NaN 
R8 -13.633 7.20 303.15 NaN 
R8 -11.007 7.20 303.15 NaN 
R8 -16.047 8.00 303.15 NaN 
R8 -15.174 8.00 303.15 NaN 
R8 -12.376 7.20 303.15 NaN 
R8 -15.131 7.20 303.15 NaN 
R31 -14.725 8.00 303.15 NaN 
R25 -15.094 8.00 303.15 NaN 
R25 -11.207 7.20 303.15 NaN 
R25 -27.605 7.30 298.15 NaN 
R25 8.296 7.40 310.15 NaN 
R25 0.027 7.50 323.15 NaN 
R86 -0.190 7.50 338.15 NaN 
R86 -0.135 7.50 333.15 NaN 
R71 -0.368 7.50 338.15 NaN 
R71 -0.289 7.50 333.15 NaN 
R71 -0.027 7.50 328.15 NaN 
R71 -0.000 7.40 313.15 NaN 
R71 -0.834 7.00 298.15 NaN 
R71 14.192 7.00 278.05 NaN 
R71 13.869 7.00 288.45 NaN 
R71 13.179 7.00 300.55 NaN 
R71 12.723 5.70 309.45 NaN 
R71 12.085 7.00 309.45 NaN 
R71 12.861 7.00 309.45 NaN 
R71 12.990 7.70 309.45 NaN 
R71 12.872 7.00 309.45 NaN 
R71 12.872 7.00 309.45 NaN 
R33 11.894 7.00 309.45 NaN 
R25 11.894 7.00 309.45 NaN 
R25 -16.675 7.05 308.15 NaN 
R25 -14.492 9.70 308.15 NaN 
R25 -7.167 7.50 303.15 NaN 
R25 1.360 7.00 310.15 NaN 
R25 -11.036 7.00 298.15 NaN 
R19 10.245 7.10 298.15 NaN 
R31 0.959 7.40 311.15 NaN 
R33 23.765 7.00 303.15 NaN 
R33 23.720 7.00 313.15 NaN 
R33 21.335 7.00 333.15 NaN 
R33 22.766 7.00 311.15 NaN 
R33 3.772 8.50 273.30 0.12 
R33 3.794 8.50 274.90 0.12 
R33 3.721 8.50 278.20 0.12 
R33 3.566 8.50 283.40 0.12 
R33 3.340 8.50 289.90 0.12 
R33 3.283 8.50 293.30 0.12 
R33 3.253 8.50 299.00 0.12 
R80 3.038 8.50 303.60 0.12 
R80 2.955 8.50 303.60 0.12 
R31 2.845 8.50 308.80 0.12 
R42 2.660 8.50 313.30 0.12 
R39 2.553 8.50 317.50 0.12 
R87 2.812 8.50 313.70 0.12 
R46 2.392 8.50 322.80 0.12 
R37 3.420 8.50 288.40 0.12 
R37 2.563 8.50 318.70 0.12 
R37 3.735 8.50 279.30 0.12 
R37 3.068 8.50 298.20 0.12 
R7 3.294 8.50 294.30 0.12 
R7 2.386 8.50 322.00 0.12 
R7 3.582 8.50 284.70 0.12 
R7 3.582 8.50 284.70 0.12 
R7 2.839 8.50 308.20 0.12 
R7 27.678 7.00 318.14 0.25 
R7 25.956 6.94 298.15 NaN 
R7 24.762 7.00 278.43 0.25 
R7 25.991 7.00 298.15 0.25 
R7 25.795 6.98 298.15 NaN 
R7 28.451 7.80 298.15 0.25 
R7 26.110 7.00 298.15 0.25 
R7 23.711 6.70 298.15 0.25 
R7 24.705 7.00 280.13 0.25 
R7 22.561 6.40 298.15 0.25 
R7 26.881 7.00 307.93 0.25 
R7 27.391 7.40 298.15 0.25 
R7 -7.020 7.00 298.15 NaN 
R7 0.997 7.00 311.15 0.25 
R7 4.184 7.50 303.15 NaN 
R7 3.788 7.00 310.15 NaN 
R7 -0.298 7.10 343.35 NaN 
R7 -0.290 7.10 343.35 NaN 
R55 -0.308 7.10 343.35 NaN 
R55 -0.282 7.10 343.35 NaN 
R55 -0.285 7.10 343.35 NaN 
R55 -0.295 7.10 343.35 NaN 
R55 -0.282 7.10 343.35 NaN 
R55 -0.000 6.50 333.15 NaN 
R55 -0.000 6.50 343.15 NaN 
R55 -2.832 7.40 310.15 NaN 
