RID dG0'r pH T I 
R17 0.094 6.89 310.15 0.25 
R17 0.143 6.98 310.15 0.25 
R17 0.190 6.97 310.15 0.25 
R17 0.274 6.99 310.15 0.25 
R17 -0.150 6.99 310.15 0.25 
R17 0.443 6.99 310.15 0.25 
R25 2.494 6.99 310.15 0.25 
R25 -0.036 6.99 310.15 0.25 
R25 0.049 6.97 310.15 0.25 
R43 -0.111 6.99 310.15 0.25 
R43 0.890 6.99 310.15 0.25 
R45 1.440 6.99 310.15 0.25 
R45 0.044 6.91 310.15 0.25 
R45 0.356 6.98 310.15 0.25 
R45 22.642 8.80 282.15 NaN 
R45 19.317 8.80 296.15 NaN 
R8 19.678 8.80 313.15 NaN 
R8 18.647 8.80 303.15 NaN 
R8 1.678 7.40 298.15 0.27 
R8 2.552 7.40 298.15 0.29 
R8 3.609 7.40 298.15 0.40 
R8 3.914 7.40 298.15 0.54 
R8 4.167 7.40 298.15 0.54 
R8 4.819 7.40 298.15 0.75 
R8 5.192 7.40 298.15 1.65 
R8 5.424 7.40 298.15 3.15 
R8 2.167 8.40 298.15 0.22 
R8 1.897 8.40 298.15 0.21 
R8 1.767 6.40 298.15 0.30 
R8 1.644 6.40 298.15 0.31 
R8 0.670 6.40 298.15 0.28 
R8 0.989 6.40 298.15 0.29 
R37 0.852 6.40 298.15 0.29 
R37 2.097 6.40 298.15 0.34 
R37 1.929 6.40 298.15 0.34 
R37 3.050 6.40 298.15 0.48 
R8 3.988 6.40 298.15 0.78 
R8 1.522 7.40 298.15 0.29 
R8 1.022 7.40 298.15 0.28 
R8 1.022 7.40 298.15 0.28 
R8 0.743 7.40 298.15 0.27 
R8 0.797 7.40 298.15 0.27 
R8 0.686 7.40 298.15 0.27 
R8 1.897 8.40 298.15 0.21 
R8 1.401 8.40 298.15 0.19 
R8 0.651 8.40 298.15 0.18 
R8 3.208 8.40 298.15 0.22 
R8 4.434 8.40 298.15 0.65 
R8 1.133 7.40 298.15 0.28 
R8 1.536 7.40 298.15 0.28 
R8 0.763 7.40 298.15 0.26 
R8 2.717 7.40 298.15 0.28 
R8 1.850 7.40 298.15 0.16 
R8 1.778 7.40 298.15 0.11 
R8 3.328 7.40 298.15 0.16 
R8 3.041 7.40 298.15 0.17 
R8 -1.070 7.40 298.15 0.01 
R8 -0.851 7.40 298.15 0.01 
R8 -1.180 7.40 298.15 0.01 
R8 -0.553 7.40 298.15 0.01 
R8 -0.553 7.40 298.15 0.01 
R8 0.453 7.40 298.15 0.09 
R8 1.003 7.40 298.15 0.09 
R8 0.612 7.40 298.15 0.09 
R8 1.428 7.40 298.15 NaN 
R8 1.441 7.40 298.15 NaN 
R8 1.803 7.40 298.15 NaN 
R8 1.668 7.40 298.15 0.59 
R8 1.767 7.40 298.15 0.59 
R8 1.003 7.40 298.15 0.45 
R8 1.086 7.40 298.15 0.46 
R8 2.808 7.40 298.15 0.47 
R8 4.221 7.40 298.15 0.70 
R8 3.093 7.40 298.15 0.72 
R8 1.286 6.40 298.15 0.29 
R8 3.751 6.40 298.15 0.78 
R8 1.693 7.40 298.15 0.27 
R8 5.233 7.40 298.15 1.65 
R8 -1.102 7.40 298.15 0.01 
R8 1.241 7.40 298.15 NaN 
R8 2.878 7.40 298.15 0.47 
R8 2.878 7.40 298.15 0.47 
R8 1.678 7.40 298.15 1.67 
R8 3.347 6.40 298.15 0.48 
R8 4.784 7.40 298.15 0.75 
R8 0.345 7.40 298.15 0.26 
R8 -1.344 7.40 298.15 0.01 
R8 0.632 7.40 298.15 0.09 
R8 2.615 7.40 298.15 0.29 
R8 5.491 7.40 298.15 3.15 
R8 3.290 8.40 298.15 0.22 
R8 2.012 7.40 298.15 0.17 
R8 -1.149 7.40 298.15 0.01 
R8 1.371 7.40 298.15 NaN 
R8 0.870 8.40 298.15 0.18 
R8 1.654 6.40 298.15 0.30 
R8 1.486 7.40 298.15 0.28 
R8 2.777 7.40 298.15 0.28 
R8 0.686 6.40 298.15 0.28 
R8 1.037 7.40 298.15 0.28 
R8 3.609 7.40 298.15 0.40 
R8 2.108 8.40 298.15 0.23 
R8 2.108 8.40 298.15 0.23 
R8 4.651 8.40 298.15 0.65 
R8 1.086 7.40 298.15 0.13 
R8 -0.707 7.40 298.15 0.01 
R8 1.793 7.40 298.15 NaN 
R8 1.592 7.40 298.15 1.55 
R8 1.536 8.40 298.15 0.19 
R8 0.686 7.40 298.15 0.26 
R8 -6.115 7.40 298.15 NaN 
R8 1.481 7.40 298.15 NaN 
R8 23.841 6.70 311.15 NaN 
R8 25.314 6.70 311.15 NaN 
R8 -4.657 7.40 298.15 NaN 
R8 -5.754 8.00 298.15 NaN 
R8 1.307 7.80 298.15 NaN 
R8 -4.749 7.40 298.15 NaN 
R8 -1.717 7.06 298.15 NaN 
R8 -0.834 7.03 298.15 NaN 
R8 -5.901 7.00 311.15 NaN 
R8 6.937 7.00 303.15 NaN 
R8 2.012 7.40 303.15 NaN 
R8 -7.020 8.00 298.15 NaN 
R8 0.500 7.00 323.15 NaN 
R8 -0.769 7.00 333.15 NaN 
R8 -0.139 7.00 343.15 NaN 
R8 -0.813 7.20 343.15 NaN 
R1 -0.280 7.00 353.15 NaN 
R46 -0.338 7.20 333.15 NaN 
R37 -3.946 7.10 311.15 NaN 
R37 47.231 8.00 310.15 NaN 
R47 -19.653 7.40 311.15 0.25 
R47 -6.568 5.65 286.35 NaN 
R47 -7.049 5.65 298.15 NaN 
R47 -7.305 5.65 304.15 NaN 
R47 -7.836 5.65 316.35 NaN 
R47 -7.645 5.65 310.25 NaN 
R26 -6.768 5.65 292.45 NaN 
R44 11.399 8.40 310.15 NaN 
R7 -3.702 7.40 293.15 NaN 
R12 -3.185 7.40 303.15 NaN 
R25 -3.002 7.40 313.15 NaN 
R25 -2.617 7.40 323.15 NaN 
R25 3.252 7.50 334.15 NaN 
R25 2.685 7.50 343.15 NaN 
R25 2.557 7.50 345.15 NaN 
R25 4.066 7.50 323.15 NaN 
R48 4.462 7.50 313.15 NaN 
R49 -11.618 4.50 318.15 NaN 
R50 -11.036 4.50 318.15 NaN 
R51 -4.637 5.60 303.15 NaN 
R51 -4.148 6.80 310.15 NaN 
R51 -4.037 6.00 298.15 NaN 
R51 3.305 7.00 298.65 NaN 
R51 2.913 7.00 310.15 NaN 
R51 4.104 7.00 273.15 NaN 
R38 14.246 7.40 303.15 NaN 
R24 4.142 7.50 300.15 NaN 
R24 21.536 6.30 310.15 NaN 
R24 -16.712 5.50 298.15 NaN 
R24 18.266 7.00 273.15 NaN 
R14 15.840 7.00 293.15 NaN 
R14 13.145 7.00 313.15 NaN 
R14 10.972 7.00 333.15 NaN 
R14 16.596 7.00 293.15 NaN 
R14 17.529 7.00 293.15 NaN 
R51 18.667 7.00 293.15 NaN 
R51 18.284 7.00 293.15 NaN 
R26 19.385 7.00 293.15 NaN 
R26 19.385 7.00 293.15 NaN 
R26 19.843 7.00 293.15 NaN 
R42 18.619 7.00 333.15 NaN 
R42 19.681 7.00 293.15 NaN 
R42 18.468 7.00 293.15 NaN 
R52 16.596 7.00 293.15 NaN 
R14 16.008 7.00 293.15 NaN 
